date,daily_sentiment_score,daily_sentiment_label,headline_count
2018-03-01,-0.08345714285714287,negative,7
2018-03-02,-0.0999,negative,6
2018-03-05,-0.11030000000000001,positive,6
2018-03-06,0.227525,positive,4
2018-03-07,-0.12527500000000003,negative,8
2018-03-08,0.037959999999999994,positive,5
2018-03-09,-0.24137999999999998,negative,5
2018-03-12,0.10478571428571429,positive,7
2018-03-13,0.13558333333333333,positive,6
2018-03-14,0.11760000000000001,positive,5
2018-03-15,0.1524142857142857,positive,7
2018-03-16,0.07881666666666666,positive,6
2018-03-19,0.016571428571428574,positive,7
2018-03-20,-0.18919999999999998,negative,5
2018-03-21,0.14329999999999998,positive,5
2018-03-22,0.12651428571428572,positive,7
2018-03-23,0.34220000000000006,positive,4
2018-03-26,-0.02652,negative,5
2018-03-27,0.32345,positive,6
2018-03-28,0.0951142857142857,positive,7
2018-03-29,0.009674999999999996,neutral,4
2018-04-02,0.19399999999999998,neutral,3
2018-04-03,-0.04075000000000001,negative,4
2018-04-04,-0.19510000000000002,neutral,2
2018-04-05,0.30035,positive,8
2018-04-06,-0.43015000000000003,negative,4
2018-04-09,-0.033716666666666666,negative,6
2018-04-10,0.12303750000000001,positive,8
2018-04-11,0.12076000000000002,positive,5
2018-04-12,0.23786666666666667,positive,6
2018-04-13,0.21872000000000003,positive,5
2018-04-16,-0.15176666666666666,neutral,6
2018-04-17,0.21757999999999997,positive,5
2018-04-18,-0.179075,negative,4
2018-04-19,-0.14014285714285715,positive,7
2018-04-20,0.04754000000000001,neutral,5
2018-04-23,-0.35604,negative,5
2018-04-24,0.1109,positive,5
2018-04-25,0.03294999999999998,neutral,2
2018-04-26,0.14100000000000001,positive,10
2018-04-27,-0.09532500000000001,neutral,4
2018-04-30,0.02844000000000002,neutral,5
2018-05-01,0.2768,positive,4
2018-05-02,-0.016760000000000008,negative,5
2018-05-03,0.1965625,positive,8
2018-05-04,0.16955714285714288,positive,7
2018-05-05,0.3818,positive,1
2018-05-07,0.19376,positive,5
2018-05-08,0.13525,positive,6
2018-05-09,0.17666666666666667,positive,3
2018-05-10,0.04540000000000002,positive,6
2018-05-11,0.13875,neutral,4
2018-05-14,-0.08895,negative,2
2018-05-15,0.11712,positive,5
2018-05-16,0.0040999999999999925,positive,7
2018-05-17,-0.14675,neutral,2
2018-05-21,-0.015575000000000006,neutral,4
2018-05-22,0.04858333333333334,positive,6
2018-05-23,-0.0015166666666666662,negative,6
2018-05-24,0.032924999999999996,negative,4
2018-05-29,-0.014480000000000003,neutral,5
2018-05-30,-0.32593333333333335,negative,3
2018-05-31,0.1953,positive,3
2018-06-01,0.26332,positive,5
2018-06-04,-0.26256,negative,5
2018-06-05,-0.135575,negative,4
2018-06-06,-0.07766,neutral,5
2018-06-07,-0.0516,negative,1
2018-06-08,-0.19616666666666668,negative,3
2018-06-11,0.074,positive,4
2018-06-12,0.16857142857142857,positive,7
2018-06-13,-0.38772,negative,5
2018-06-14,0.229025,positive,4
2018-06-15,-0.0544875,negative,8
2018-06-18,-0.009475000000000011,negative,4
2018-06-19,-0.003500000000000011,negative,7
2018-06-20,0.060825000000000004,positive,4
2018-06-21,0.23037777777777776,positive,9
2018-06-22,-0.10927500000000001,negative,4
2018-06-27,0.021799999999999986,neutral,2
2018-06-28,0.296,positive,1
2018-07-05,-0.0827666666666667,positive,3
2018-07-06,0.158,neutral,2
2018-07-09,0.04543333333333333,positive,9
2018-07-10,-0.04074999999999998,neutral,2
2018-07-11,0.10404545454545455,positive,11
2018-07-12,0.2668,positive,4
2018-07-13,-0.09842857142857143,negative,7
2018-07-16,0.31046,positive,5
2018-07-17,0.15965000000000001,positive,6
2018-07-18,0.108275,positive,4
2018-07-19,0.07218749999999999,positive,8
2018-07-23,-0.0784,neutral,4
2018-07-24,0.22916666666666666,positive,9
2018-07-25,-0.2732,negative,1
2018-07-28,0.0,neutral,1
2018-07-30,0.22036000000000003,positive,5
2018-07-31,0.15626,positive,5
2019-03-01,-0.0005333333333333301,neutral,3
2019-03-04,0.28313333333333335,positive,3
2019-03-05,0.0,neutral,1
2019-03-06,0.1271,positive,4
2019-03-07,0.12983333333333333,positive,3
2019-03-08,0.5369,positive,3
2019-03-11,0.3568,positive,2
2019-03-12,0.21315000000000003,positive,6
2019-03-13,0.21965,positive,4
2019-03-15,0.17253333333333334,positive,3
2019-03-19,0.23835,positive,2
2019-03-20,0.029675000000000007,positive,4
2019-03-21,0.43657500000000005,positive,4
2019-03-22,-0.1551,negative,3
2019-03-25,0.0,neutral,2
2019-03-26,0.1362,positive,4
2019-03-27,0.38415,positive,6
2019-03-28,-0.01100000000000001,negative,3
2019-03-29,0.0,neutral,3
2019-04-01,0.10273333333333334,positive,3
2019-04-03,0.18723750000000003,positive,8
2019-04-04,0.13648000000000002,positive,5
2019-04-05,0.06635000000000002,positive,4
2019-04-08,0.25644999999999996,neutral,2
2019-04-09,-0.04598,negative,5
2019-04-10,0.20277499999999998,positive,4
2019-04-11,0.36285,positive,4
2019-04-12,0.11789999999999999,neutral,4
2019-04-15,0.15936666666666666,positive,6
2019-04-16,0.12040000000000001,positive,3
2019-04-17,-0.07549999999999998,negative,5
2019-04-18,0.29795,positive,4
2019-04-23,0.0,neutral,4
2019-04-24,0.38255,positive,4
2019-04-25,0.11218333333333334,positive,6
2019-04-26,0.175675,positive,4
2019-04-29,-0.03268,positive,5
2019-04-30,0.03695000000000001,neutral,4
2019-05-01,0.03633333333333333,positive,6
2019-05-02,0.165275,positive,4
2019-05-03,0.146475,positive,4
2019-05-06,-0.05244999999999999,negative,6
2019-05-07,-0.10243333333333333,neutral,3
2019-05-08,0.05805000000000001,positive,6
2019-05-09,0.21230000000000002,positive,3
2019-05-10,0.19,positive,7
2019-05-13,-0.013566666666666652,neutral,3
2019-05-14,0.21989999999999998,positive,7
2019-05-15,0.36445,positive,2
2019-05-16,0.18738333333333335,positive,6
2019-05-17,-0.17444,negative,5
2019-05-18,0.0,neutral,1
2019-05-19,-0.1635,negative,1
2019-05-20,0.14233333333333334,positive,3
2019-05-21,0.013700000000000023,neutral,5
2019-05-22,0.13018000000000002,positive,5
2019-05-23,-0.07867999999999997,negative,5
2019-05-28,-0.084075,neutral,4
2019-05-29,0.297825,positive,4
2019-05-30,0.00245,neutral,4
2019-05-31,-0.03712,neutral,5
2019-06-03,0.07118,positive,5
2019-06-04,0.15994000000000003,positive,5
2019-06-05,0.17421666666666666,positive,6
2019-06-06,0.10115,positive,2
2019-06-07,0.26968,positive,5
2019-06-10,-0.119675,negative,4
2019-06-11,0.028416666666666663,neutral,6
2019-06-12,0.0,neutral,5
2019-06-13,0.09176,positive,5
2019-06-14,-0.005100000000000005,neutral,5
2019-06-17,0.0,neutral,5
2019-06-18,0.0,neutral,3
2019-06-19,0.24592,positive,5
2019-06-20,-0.15768000000000001,negative,5
2019-06-21,-0.33759999999999996,negative,3
2019-07-01,-0.023179999999999996,neutral,5
2019-07-02,-0.006240000000000001,negative,5
2019-07-08,-0.056575,negative,4
2019-07-09,0.12008000000000003,neutral,5
2019-07-10,-0.0625,negative,6
2019-07-11,0.02772500000000002,positive,4
2019-07-12,0.0626,neutral,4
2019-07-15,0.0,neutral,3
2019-07-16,0.18867142857142857,positive,7
2019-07-17,0.0911,neutral,4
2019-07-18,0.08855000000000002,positive,6
2019-07-19,-0.009925000000000003,neutral,4
2019-07-22,0.3137,positive,3
2019-07-23,0.41746666666666665,positive,3
2019-07-24,0.030287500000000002,neutral,8
2019-07-25,0.07363999999999998,positive,5
2019-07-29,0.03558,positive,5
2019-07-30,0.19068000000000002,positive,5
2019-07-31,-0.07289999999999999,neutral,4
2020-03-02,-0.0486,neutral,6
2020-03-03,-0.24523333333333333,neutral,6
2020-03-04,0.037839999999999985,positive,5
2020-03-05,-9.999999999998899e-05,neutral,4
2020-03-06,0.0956,positive,4
2020-03-09,0.263325,positive,4
2020-03-10,0.006420000000000004,negative,10
2020-03-11,-0.19472857142857142,negative,7
2020-03-12,-0.159225,negative,4
2020-03-13,-0.19022,negative,5
2020-03-14,0.0,neutral,1
2020-03-15,-0.2295,neutral,2
2020-03-16,-0.005220000000000002,positive,5
2020-03-17,0.1806,positive,2
2020-03-18,-0.06462,negative,5
2020-03-19,0.0903,positive,4
2020-03-20,-0.51778,negative,5
2020-03-23,0.07547999999999999,positive,5
2020-03-24,-0.17768,negative,5
2020-03-25,0.10116666666666667,positive,3
2020-03-26,0.2524,positive,4
2020-03-27,0.23096,positive,5
2020-03-30,0.03240000000000001,positive,4
2020-03-31,-0.1232,negative,5
2020-04-01,0.0824,positive,5
2020-04-02,0.0683,positive,4
2020-04-03,0.04281428571428571,positive,7
2020-04-06,-0.010466666666666666,negative,3
2020-04-07,-0.2363333333333333,negative,3
2020-04-08,0.17766666666666667,positive,6
2020-04-09,-0.06603333333333332,neutral,3
2020-04-13,0.48912500000000003,positive,4
2020-04-14,-0.121,neutral,3
2020-04-15,0.09052,positive,5
2020-04-16,0.0,neutral,3
2020-04-17,-0.4019,negative,1
2020-04-20,-0.32353333333333334,negative,3
2020-04-21,0.028850000000000015,positive,6
2020-04-22,-0.05484,neutral,5
2020-04-23,-0.0055333333333333345,negative,6
2020-04-24,0.044475,positive,4
2020-04-27,0.0,neutral,3
2020-04-28,0.08608000000000002,neutral,5
2020-04-29,0.0,neutral,4
2020-04-30,-0.296,negative,1
2020-05-01,0.13399999999999998,positive,5
2020-05-04,0.09292000000000002,positive,5
2020-05-05,-0.015074999999999991,neutral,4
2020-05-06,0.27748333333333336,positive,6
2020-05-07,-0.068875,negative,4
2020-05-08,-0.34,negative,1
2020-05-09,0.4767,positive,1
2020-05-11,-0.1166,negative,3
2020-05-12,-0.28386666666666666,negative,6
2020-05-13,0.0,neutral,4
2020-05-14,0.0716,positive,5
2020-05-15,-0.5155,negative,3
2020-05-16,0.0986,neutral,2
2020-05-18,0.31245,positive,2
2020-05-19,-0.142975,negative,4
2020-05-20,0.3412,positive,4
2020-05-21,-0.03605,neutral,4
2020-05-26,0.135325,positive,4
2020-05-27,-0.35179999999999995,negative,3
2020-05-28,0.0,neutral,1
2020-05-29,0.06565714285714286,positive,7
2020-06-01,-0.5859,negative,1
2020-06-02,-0.042,neutral,6
2020-06-03,0.1951,positive,4
2020-06-04,0.27378,positive,5
2020-06-05,0.0,neutral,1
2020-06-08,0.195925,positive,4
2020-06-09,0.17575000000000002,positive,4
2020-06-10,0.25306666666666666,positive,3
2020-06-11,0.21447499999999997,neutral,4
2020-06-12,0.14609999999999998,positive,5
2020-06-15,-0.1589,negative,3
2020-06-16,0.22585,positive,4
2020-06-17,0.25875000000000004,positive,4
2020-06-18,0.0,neutral,3
2020-06-21,0.0,neutral,1
2020-06-22,-0.056575,negative,4
2020-06-23,-0.023424999999999994,neutral,4
2020-06-24,0.1535,positive,4
2020-06-25,0.0,neutral,3
2020-06-26,0.2263,positive,1
2020-06-29,0.18824999999999997,positive,4
2020-06-30,0.29973333333333335,positive,3
2020-07-01,-0.15639999999999998,neutral,3
2020-07-02,-0.10715000000000001,negative,4
2020-07-06,0.4019,positive,1
2020-07-07,0.0,neutral,1
2020-07-13,-0.169,negative,5
2020-07-14,-0.09866666666666667,negative,3
2020-07-15,-0.0606,neutral,4
2020-07-16,-0.074,negative,4
2020-07-17,0.253075,positive,4
